Name,Signature,GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Time,DeviceArraySize,IntegerValue
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.115744,[80000;80000;1;],[80000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,1.120928,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.05744,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.06496,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.123616,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.056448,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.062432,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.032032,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.105536,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.031552,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.137248,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.052032,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.050592,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.733056,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.075808,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.059552,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.142112,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.03904,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.051168,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.029664,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.129728,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.030304,[1000;1000;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.166464,[1000;1000;],[1000;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.060256,[1000;1000;1;],[1000;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.047648,[1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.065856,[1000;1;],[1000;]
spmv_full,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class com.nvidia.grcuda.runtime.array.DeviceArray;],32,1,1,32,1,1,0.77264,[1;1001;6000;6000;1000;1000;1000;],[1000;-1;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.070752,[1;1001;6000;6000;1000;1000;],[1000;]
cpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.0768,[1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.107424,[1000;1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.110944,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.053504,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.08272,[1000;1000;1000;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.107328,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.06848,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.082048,[1000;1000;1;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.048544,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.104256,[1000;1000;1000;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.103392,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.100352,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.07504,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.072928,[1000;1000;1;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.04464,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.08752,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.06128,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.054912,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.062048,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.125376,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.079904,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.039392,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.050464,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.049888,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.034048,[1000;1;],[1000;]
spmv_full,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class com.nvidia.grcuda.runtime.array.DeviceArray;],32,1,1,32,1,1,0.146272,[1;1001;6000;6000;1000;1000;1000;],[1000;-1;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.034464,[1;1001;6000;6000;1000;1000;],[1000;]
cpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.054208,[1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.062272,[1000;1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.07568,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.033472,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.051552,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.038688,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.129824,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.097248,[1;1001;6000;6000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.031872,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.093568,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.036288,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.043392,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.072768,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.099808,[1;1001;6000;6000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.029056,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.093568,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.035712,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.040288,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.03168,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.126624,[1;1001;6000;6000;1000;1000;],[1000;]
