Name,Signature,GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Time,DeviceArraySize,IntegerValue
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.096,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.032768,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.03744,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.036288,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.035488,[1000;1;],[1000;]
spmv_full,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class com.nvidia.grcuda.runtime.array.DeviceArray;],32,1,1,32,1,1,0.162112,[1;1001;6000;6000;1000;1000;1000;],[1000;-1;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.037216,[1;1001;6000;6000;1000;1000;],[1000;]
cpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.049536,[1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.085248,[1000;1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.097824,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.357984,[1000;1;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.071488,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.097408,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.044928,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.049184,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.031616,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.091808,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.035456,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.045056,[1000;1000;1000;],[1000;]
