Kernel Name,Optimization Level,Wilcoxon Test p-value,Faster Kernel
Axpy,O0,7.47e-14,Automatically Modified
Dot Product,O0,1.38e-17,Automatically Modified
Convolution 1D,O0,1.22e-17,Automatically Modified
Auto-covariance,O0,2.6e-17,Automatically Modified
Hotspot - 3D,O0,5.57e-17,Automatically Modified
NN - Forward Phase,O0,1.78e-17,Automatically Modified
BFS,O0,5.57e-17,Automatically Modified
PageRank,O0,3.81e-17,Automatically Modified
Matrix Multiplication,O0,8.33e-18,Automatically Modified
Hotspot,O0,8.95e-05,Manually Modified
NN - Backpropagation,O0,0.644,-
Gaussian Elimination,O0,1.78e-17,Automatically Modified
Histogram,O0,5.7e-18,Automatically Modified
LU Decomposition,O0,2.44e-17,Automatically Modified
Needleman-Wunsch,O0,0.000117,Automatically Modified
Nested Loops,O0,2.56e-06,Automatically Modified
Axpy,O2,7.25e-13,Automatically Modified
Dot Product,O2,0.367,-
Convolution 1D,O2,9.61e-09,Manually Modified
Auto-covariance,O2,7.75e-09,Automatically Modified
Hotspot - 3D,O2,4.66e-10,Manually Modified
NN - Forward Phase,O2,0.0103,-
BFS,O2,2.6e-17,Automatically Modified
PageRank,O2,3.29e-10,Manually Modified
Matrix Multiplication,O2,1.01e-16,Manually Modified
Hotspot,O2,8.28e-14,Automatically Modified
NN - Backpropagation,O2,2.6e-17,Manually Modified
Gaussian Elimination,O2,0.000202,Automatically Modified
Histogram,O2,2.6e-17,Automatically Modified
LU Decomposition,O2,6.14e-17,Automatically Modified
Needleman-Wunsch,O2,9.48e-13,Automatically Modified
Nested Loops,O2,0.00181,-
